Frequency,PowerLevel,fpgaberstatus
471,-100,0.000001
471,-99,0
471,-98,0
471,-97,0
472,-100,0.000002
472,-99,0
472,-98,0
472,-97,0
473,-100,0.000001
473,-99,0.000001
473,-98,0
473,-97,0
474,-100,0.000005
474,-99,0
474,-98,0
474,-97,0
475,-100,0.000003
475,-99,0
475,-98,0
475,-97,0
476,-100,0.000004
476,-99,0
476,-98,0
476,-97,0
477,-100,0.000003
477,-99,0
477,-98,0.000001
477,-97,0
478,-100,0.000003
478,-99,0
478,-98,0
478,-97,0
479,-100,0.000003
479,-99,0
479,-98,0
479,-97,0
480,-100,0.000013
480,-99,0.000001
480,-98,0
480,-97,0
481,-100,0.000004
481,-99,0.000001
481,-98,0
481,-97,0
482,-100,0.000008
482,-99,0
482,-98,0
482,-97,0
483,-100,0.000008
483,-99,0.000001
483,-98,0
483,-97,0
484,-100,0.000007
484,-99,0.000001
484,-98,0
484,-97,0
485,-100,0.000004
485,-99,0.000001
485,-98,0
485,-97,0
486,-100,0.00001
486,-99,0.000001
486,-98,0
486,-97,0
487,-100,0.00001
487,-99,0.000002
487,-98,0
487,-97,0
488,-100,0.000007
488,-99,0.000001
488,-98,0
488,-97,0
489,-100,0.000007
489,-99,0.000001
489,-98,0
489,-97,0
490,-100,0.000011
490,-99,0.000001
490,-98,0
490,-97,0
491,-100,0.000006
491,-99,0.000001
491,-98,0
491,-97,0
492,-100,0.000015
492,-99,0.000001
492,-98,0
492,-97,0
493,-100,0.00001
493,-99,0
493,-98,0
493,-97,0
494,-100,0.000009
494,-99,0
494,-98,0
494,-97,0
495,-100,0.000006
495,-99,0
495,-98,0
495,-97,0
496,-100,0.000005
496,-99,0
496,-98,0
496,-97,0
497,-100,0.000003
497,-99,0
497,-98,0
497,-97,0
498,-100,0.000003
498,-99,0
498,-98,0
498,-97,0
499,-100,0.000006
499,-99,0
499,-98,0
499,-97,0
500,-100,0.000005
500,-99,0
500,-98,0
500,-97,0
501,-100,0.000005
501,-99,0
501,-98,0
501,-97,0
502,-100,0.000003
502,-99,0
502,-98,0
502,-97,0
503,-100,0.000005
503,-99,0
503,-98,0
503,-97,0
504,-100,0.000003
504,-99,0
504,-98,0
504,-97,0
505,-100,0.000002
505,-99,0
505,-98,0
505,-97,0
506,-100,0.000005
506,-99,0
506,-98,0
506,-97,0
507,-100,0.000003
507,-99,0
507,-98,0
507,-97,0
508,-100,0.000005
508,-99,0
508,-98,0
508,-97,0
509,-100,0.000006
509,-99,0
509,-98,0
509,-97,0
510,-100,0.000005
510,-99,0
510,-98,0
510,-97,0
511,-100,0.000002
511,-99,0.000001
511,-98,0
511,-97,0
512,-100,0.000005
512,-99,0
512,-98,0
512,-97,0
513,-100,0.000004
513,-99,0
513,-98,0
513,-97,0
514,-100,0.000004
514,-99,0
514,-98,0
514,-97,0
515,-100,0.000004
515,-99,0
515,-98,0
515,-97,0
516,-100,0.000008
516,-99,0
516,-98,0
516,-97,0
517,-100,0.000004
517,-99,0
517,-98,0
517,-97,0
518,-100,0.000003
518,-99,0
518,-98,0
518,-97,0
519,-100,0.000004
519,-99,0.000001
519,-98,0
519,-97,0
520,-100,0.000003
520,-99,0
520,-98,0
520,-97,0
521,-100,0.000004
521,-99,0
521,-98,0
521,-97,0
522,-100,0.000005
522,-99,0
522,-98,0
522,-97,0
523,-100,0.000006
523,-99,0.000001
523,-98,0
523,-97,0
524,-100,0.000006
524,-99,0.000001
524,-98,0
524,-97,0
525,-100,0.000004
525,-99,0
525,-98,0
525,-97,0
526,-100,0.000008
526,-99,0
526,-98,0
526,-97,0
527,-100,0.000005
527,-99,0
527,-98,0
527,-97,0
528,-100,0.000012
528,-99,0.000001
528,-98,0
528,-97,0
529,-100,0.000003
529,-99,0
529,-98,0
529,-97,0
530,-100,0.000008
530,-99,0.000001
530,-98,0
530,-97,0
531,-100,0.000005
531,-99,0
531,-98,0
531,-97,0
532,-100,0.000009
532,-99,0.000001
532,-98,0
532,-97,0
533,-100,0.000006
533,-99,0
533,-98,0
533,-97,0
534,-100,0.000007
534,-99,0
534,-98,0
534,-97,0
