Frequency,PowerLevel,SMUFrequencyOffset,fpgaberstatus,SMUFrequencyOffset
471,-100,0,0.000001,1
471,-99,0,0,2
471,-98,0,0,0
471,-97,0,0,0
472,-100,0,0.000002,0
472,-99,0,0,0
472,-98,0,0,0
472,-97,0,0,0
473,-100,0,0.000001,0
473,-99,0,0.000001,0
473,-98,0,0,0
473,-97,0,0,0
474,-100,0,0.000005,0
474,-99,0,0,0
474,-98,0,0,0
474,-97,0,0,0
475,-100,0,0.000003,0
475,-99,0,0,0
475,-98,0,0,0
475,-97,0,0,0
476,-100,0,0.000004,0
476,-99,0,0,0
476,-98,0,0,0
476,-97,0,0,0
477,-100,0,0.000003,0
477,-99,0,0,0
477,-98,0,0.000001,0
477,-97,0,0,0
478,-100,0,0.000003,0
478,-99,0,0,0
478,-98,0,0,0
478,-97,0,0,0
479,-100,0,0.000003,0
479,-99,0,0,0
479,-98,0,0,0
479,-97,0,0,0
480,-100,0,0.000013,0
480,-99,0,0.000001,0
480,-98,0,0,0
480,-97,0,0,0
481,-100,0,0.000004,0
481,-99,0,0.000001,0
481,-98,0,0,0
481,-97,0,0,0
482,-100,0,0.000008,0
482,-99,0,0,0
482,-98,0,0,0
482,-97,0,0,0
483,-100,0,0.000008,0
483,-99,0,0.000001,0
483,-98,0,0,0
483,-97,0,0,0
484,-100,0,0.000007,0
484,-99,0,0.000001,0
484,-98,0,0,0
484,-97,0,0,0
485,-100,0,0.000004,0
485,-99,0,0.000001,0
485,-98,0,0,0
485,-97,0,0,0
486,-100,0,0.00001,0
486,-99,0,0.000001,0
486,-98,0,0,0
486,-97,0,0,0
487,-100,0,0.00001,0
487,-99,0,0.000002,0
487,-98,0,0,0
487,-97,0,0,0
488,-100,0,0.000007,0
488,-99,0,0.000001,0
488,-98,0,0,0
488,-97,0,0,0
489,-100,0,0.000007,0
489,-99,0,0.000001,0
489,-98,0,0,0
489,-97,0,0,0
490,-100,0,0.000011,0
490,-99,0,0.000001,0
490,-98,0,0,0
490,-97,0,0,0
491,-100,0,0.000006,0
491,-99,0,0.000001,0
491,-98,0,0,0
491,-97,0,0,0
492,-100,0,0.000015,0
492,-99,0,0.000001,0
492,-98,0,0,0
492,-97,0,0,0
493,-100,0,0.00001,0
